entity_group,outer_fold,validation_movies,entity_match_rate,unseen_movie_rate,at_least_1_history_rate,at_least_2_history_rate,at_least_3_history_rate,at_least_5_history_rate,mature_financial_history_rate,mean_entities_with_history,median_prior_movie_count
director,1,330,1.0,0.08787878787878788,0.9121212121212121,0.8333333333333334,0.7636363636363637,0.5848484848484848,0.696969696969697,0.990909090909091,6.0
director,2,329,1.0,0.057750759878419454,0.9422492401215805,0.851063829787234,0.7537993920972644,0.5866261398176292,0.7720364741641338,0.9908814589665653,5.0
director,3,329,1.0,0.06382978723404255,0.9361702127659575,0.851063829787234,0.7629179331306991,0.5927051671732523,0.7477203647416414,1.0243161094224924,6.0
director,4,329,1.0,0.0425531914893617,0.9574468085106383,0.8936170212765957,0.7689969604863222,0.5319148936170213,0.7689969604863222,1.0212765957446808,5.0
director,5,329,1.0,0.03951367781155015,0.9604863221884499,0.8662613981762918,0.7750759878419453,0.5805471124620061,0.7933130699088146,1.0091185410334347,6.0
production_company,1,330,1.0,0.0,1.0,0.990909090909091,0.9878787878787879,0.9818181818181818,0.9818181818181818,3.375757575757576,277.5
production_company,2,329,1.0,0.0060790273556231,0.993920972644377,0.9817629179331308,0.9726443768996961,0.9665653495440729,0.9696048632218845,3.1580547112462005,252.0
production_company,3,329,1.0,0.0060790273556231,0.993920972644377,0.9817629179331308,0.9787234042553191,0.9696048632218845,0.9665653495440729,3.325227963525836,259.0
production_company,4,329,1.0,0.00911854103343465,0.9908814589665653,0.9908814589665653,0.9908814589665653,0.9696048632218845,0.9756838905775076,3.264437689969605,217.0
production_company,5,329,1.0,0.0060790273556231,0.993920972644377,0.9878419452887538,0.9848024316109423,0.9756838905775076,0.9726443768996961,3.1671732522796354,243.0
cast,1,330,1.0,0.0030303030303030303,0.996969696969697,0.996969696969697,0.9939393939393939,0.9939393939393939,0.9878787878787879,4.851515151515152,166.5
cast,2,329,1.0,0.0,1.0,0.993920972644377,0.993920972644377,0.9908814589665653,0.9756838905775076,4.793313069908814,158.0
cast,3,329,1.0,0.0,1.0,1.0,1.0,0.9908814589665653,0.9878419452887538,4.82370820668693,170.0
cast,4,329,1.0,0.00303951367781155,0.9969604863221885,0.993920972644377,0.993920972644377,0.9908814589665653,0.9848024316109423,4.768996960486322,150.0
cast,5,329,1.0,0.00303951367781155,0.9969604863221885,0.9969604863221885,0.9969604863221885,0.9969604863221885,0.9787234042553191,4.78419452887538,161.0
