entity_group,feature,scope,maturity_lag_days_for_financial_outcomes,validation_updates_history,target_movie_excluded_by_id
director,director_entity_count,pre_release_operational_point_in_time,365,False,True
director,director_entities_with_history,pre_release_operational_point_in_time,365,False,True
director,director_history_available,pre_release_operational_point_in_time,365,False,True
director,director_history_coverage_rate,pre_release_operational_point_in_time,365,False,True
director,director_prior_movie_count_mean,pre_release_operational_point_in_time,365,False,True
director,director_prior_movie_count_max,pre_release_operational_point_in_time,365,False,True
director,director_valid_financial_count_mean,pre_release_operational_point_in_time,365,False,True
director,director_valid_financial_count_max,pre_release_operational_point_in_time,365,False,True
director,director_years_experience_mean,pre_release_operational_point_in_time,365,False,True
director,director_years_experience_max,pre_release_operational_point_in_time,365,False,True
director,director_years_since_last_mean,pre_release_operational_point_in_time,365,False,True
director,director_years_since_last_min,pre_release_operational_point_in_time,365,False,True
director,director_smoothed_success_rate_mean,pre_release_operational_point_in_time,365,False,True
director,director_smoothed_success_rate_max,pre_release_operational_point_in_time,365,False,True
director,director_median_log_budget_mean,pre_release_operational_point_in_time,365,False,True
director,director_median_log_budget_max,pre_release_operational_point_in_time,365,False,True
director,director_recent_success_rate_mean,pre_release_operational_point_in_time,365,False,True
director,director_recency_weighted_success_rate_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_entity_count,pre_release_operational_point_in_time,365,False,True
production_company,company_entities_with_history,pre_release_operational_point_in_time,365,False,True
production_company,company_history_available,pre_release_operational_point_in_time,365,False,True
production_company,company_history_coverage_rate,pre_release_operational_point_in_time,365,False,True
production_company,company_prior_movie_count_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_prior_movie_count_max,pre_release_operational_point_in_time,365,False,True
production_company,company_valid_financial_count_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_valid_financial_count_max,pre_release_operational_point_in_time,365,False,True
production_company,company_years_experience_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_years_experience_max,pre_release_operational_point_in_time,365,False,True
production_company,company_years_since_last_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_years_since_last_min,pre_release_operational_point_in_time,365,False,True
production_company,company_smoothed_success_rate_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_smoothed_success_rate_max,pre_release_operational_point_in_time,365,False,True
production_company,company_median_log_budget_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_median_log_budget_max,pre_release_operational_point_in_time,365,False,True
production_company,company_recent_success_rate_mean,pre_release_operational_point_in_time,365,False,True
production_company,company_recency_weighted_success_rate_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_entity_count,pre_release_operational_point_in_time,365,False,True
cast,cast_entities_with_history,pre_release_operational_point_in_time,365,False,True
cast,cast_history_available,pre_release_operational_point_in_time,365,False,True
cast,cast_history_coverage_rate,pre_release_operational_point_in_time,365,False,True
cast,cast_prior_movie_count_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_prior_movie_count_max,pre_release_operational_point_in_time,365,False,True
cast,cast_valid_financial_count_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_valid_financial_count_max,pre_release_operational_point_in_time,365,False,True
cast,cast_years_experience_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_years_experience_max,pre_release_operational_point_in_time,365,False,True
cast,cast_years_since_last_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_years_since_last_min,pre_release_operational_point_in_time,365,False,True
cast,cast_smoothed_success_rate_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_smoothed_success_rate_max,pre_release_operational_point_in_time,365,False,True
cast,cast_median_log_budget_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_median_log_budget_max,pre_release_operational_point_in_time,365,False,True
cast,cast_recent_success_rate_mean,pre_release_operational_point_in_time,365,False,True
cast,cast_recency_weighted_success_rate_mean,pre_release_operational_point_in_time,365,False,True
