outer_training_partition,candidate,groups,control_threshold,control_macro_f1,control_recall_class_0,candidate_threshold,candidate_macro_f1,candidate_f1_class_0,candidate_f1_class_1,candidate_recall_class_0,candidate_recall_class_1,macro_f1_delta,recall_class_0_delta
1,director,director,0.56,0.710459354493103,0.6246719160104987,0.62,0.701935313880901,0.602957906712173,0.8009127210496292,0.6955380577427821,0.7508021390374332,-0.008524040612202022,0.07086614173228345
1,production_company,production_company,0.56,0.710459354493103,0.6246719160104987,0.53,0.700106631810677,0.5679347826086957,0.8322784810126582,0.5485564304461942,0.8438502673796792,-0.010352722682426041,-0.07611548556430447
1,cast,cast,0.56,0.710459354493103,0.6246719160104987,0.53,0.6957636673388745,0.5637583892617449,0.8277689454160042,0.5511811023622047,0.8352941176470589,-0.014695687154228532,-0.0734908136482939
2,director,director,0.54,0.7065427791842782,0.6151832460732984,0.58,0.6994354057173853,0.591715976331361,0.8071548351034097,0.6544502617801047,0.772192513368984,-0.007107373466892941,0.03926701570680624
2,production_company,production_company,0.54,0.7065427791842782,0.6151832460732984,0.54,0.7038631299415161,0.5792922673656619,0.8284339925173704,0.5785340314136126,0.8288770053475936,-0.0026796492427620944,-0.03664921465968585
2,cast,cast,0.54,0.7065427791842782,0.6151832460732984,0.52,0.7136277193641035,0.5901201602136181,0.8371352785145889,0.5785340314136126,0.8438502673796792,0.007084940179825305,-0.03664921465968585
3,director,director,0.53,0.707954451452258,0.5942408376963351,0.56,0.7036309725342936,0.5861635220125786,0.8210984230560087,0.6099476439790575,0.8074866310160428,-0.004323478917964363,0.015706806282722474
3,production_company,production_company,0.53,0.707954451452258,0.5942408376963351,0.49,0.7034054012688717,0.5678321678321678,0.8389786347055758,0.5314136125654451,0.8609625668449198,-0.0045490501833862496,-0.06282722513089001
3,cast,cast,0.53,0.707954451452258,0.5942408376963351,0.56,0.7107004585518548,0.5949367088607594,0.8264642082429501,0.6151832460732984,0.8149732620320855,0.0027460070995968255,0.020942408376963373
4,director,director,0.51,0.7052449426112668,0.5706806282722513,0.56,0.7026774561597984,0.5886699507389163,0.8166849615806806,0.6256544502617801,0.7957219251336899,-0.002567486451468426,0.054973821989528826
4,production_company,production_company,0.51,0.7052449426112668,0.5706806282722513,0.66,0.7008816310550963,0.6157112526539278,0.7860520094562647,0.7591623036649214,0.7112299465240641,-0.004363311556170535,0.18848167539267013
4,cast,cast,0.51,0.7052449426112668,0.5706806282722513,0.53,0.7010866930171278,0.5744400527009222,0.8277333333333333,0.5706806282722513,0.8299465240641711,-0.0041582495941390185,0.0
5,director,director,0.57,0.7159127677473629,0.6509186351706037,0.56,0.7242336299120494,0.6157697121401752,0.8326975476839237,0.6456692913385826,0.8162393162393162,0.008320862164686527,-0.005249343832021025
5,production_company,production_company,0.57,0.7159127677473629,0.6509186351706037,0.51,0.7230717228600155,0.6002728512960437,0.8458705944239874,0.5774278215223098,0.8589743589743589,0.007158955112652632,-0.0734908136482939
5,cast,cast,0.57,0.7159127677473629,0.6509186351706037,0.56,0.7154341370445882,0.5989717223650386,0.8318965517241379,0.6115485564304461,0.8247863247863247,-0.0004786307027746517,-0.03937007874015752
