genre,movie_count,median_revenue,success_rate
Action,623,198636868.0,0.666131621187801
Drama,513,103215094.0,0.7076023391812866
Adventure,511,333960862.0,0.6771037181996086
Comedy,500,169022556.0,0.746
Thriller,471,102244770.0,0.6857749469214437
Science Fiction,339,240891763.0,0.6755162241887905
Fantasy,289,228500000.0,0.6608996539792388
Family,267,273144151.0,0.7303370786516854
Crime,246,104024528.5,0.6910569105691057
Horror,231,80460948.0,0.7316017316017316
Animation,209,306941670.0,0.7320574162679426
Romance,204,119430820.0,0.7794117647058824
Mystery,141,100541806.0,0.7021276595744681
History,59,162242962.0,0.5423728813559322
War,51,173013509.0,0.6274509803921569
Music,33,138128854.0,0.7575757575757576
