tmdb_id,success,outer_fold
98,1,3
77,1,5
1359,1,1
4247,1,1
8358,1,5
11688,0,2
107,0,2
843,1,2
955,1,3
4327,1,2
9383,1,2
2024,0,2
8871,1,2
9532,1,1
55,1,1
7443,1,4
8452,0,3
8584,0,4
3176,1,1
6282,1,2
9679,1,4
462,1,2
2123,1,2
4234,1,3
10501,0,1
1597,1,2
8843,1,5
9741,1,1
3981,1,3
2133,1,2
10567,1,3
134,1,2
146,1,5
10637,1,4
1493,1,1
641,0,1
2046,0,4
10393,0,2
11678,1,3
1443,0,3
2787,1,4
786,0,4
9600,1,2
1900,1,5
11978,1,4
20770,1,4
71,1,4
9678,0,4
14805,0,4
9285,1,1
39468,0,1
8859,1,4
5994,1,1
16,1,5
2655,1,4
392,1,1
20455,1,2
2069,1,3
2085,1,1
12609,0,3
10647,0,1
1636,0,5
2332,1,2
10559,1,5
11770,1,1
129,1,2
585,1,5
120,1,1
855,0,3
671,1,4
808,1,2
161,1,4
194,1,3
8835,1,4
1018,0,1
1734,1,3
453,1,5
4248,1,3
141,0,4
9880,1,5
10866,0,4
1933,1,2
676,1,2
644,1,2
2057,0,3
2034,1,3
1791,0,3
5175,1,4
853,0,5
8922,1,1
1995,1,4
2770,1,1
9778,1,1
1391,1,3
9476,0,5
9889,1,5
6312,1,2
869,1,5
1903,1,1
10054,1,1
9397,0,5
2100,0,4
10950,1,5
11397,1,2
8007,1,2
10865,0,4
9378,0,1
634,1,1
16664,1,4
2110,0,1
824,1,3
9696,0,5
10796,0,4
9705,0,5
39939,1,5
9896,0,1
11371,0,1
1535,0,2
15720,0,3
2140,1,4
12610,0,5
9398,1,2
11090,1,2
9428,1,1
4133,0,5
2575,0,5
2043,0,5
11470,0,4
1999,1,4
9517,0,2
2749,0,5
1433,0,5
557,1,1
121,1,5
979,0,5
672,1,1
7451,1,3
11852,0,5
2251,1,1
425,1,5
640,1,5
423,1,5
598,1,2
2501,1,3
170,1,2
11529,1,2
79,1,1
11544,1,5
10775,0,5
1894,1,4
11362,1,3
180,1,3
2675,1,4
608,1,1
565,1,5
9637,1,5
320,1,1
11013,1,5
4614,1,2
9023,0,1
9016,0,3
9012,1,5
65,1,2
10229,1,5
36669,1,1
4108,1,5
3131,0,1
7299,0,5
36586,1,5
2022,1,1
16690,1,1
2899,1,3
9334,1,4
1576,1,2
11838,0,5
15070,0,4
4147,1,4
4547,1,2
9645,1,3
2135,0,4
818,1,4
12093,0,2
9280,0,1
10052,0,1
2752,1,5
9488,1,3
11979,0,2
10771,0,1
2637,0,5
64,1,2
12779,0,2
10590,0,5
201,0,4
6278,0,4
8869,0,3
8470,1,2
2757,0,1
455,1,5
122,1,5
22,1,3
12,1,4
670,1,5
24,1,2
616,1,3
605,1,2
11423,1,1
604,1,4
153,1,1
1278,0,1
10588,0,1
2832,1,2
11635,1,4
1927,0,2
9919,1,2
1584,1,4
14926,1,1
9358,1,3
4256,1,4
10009,0,1
277,1,4
508,1,1
9902,1,5
310,1,3
10327,1,4
8961,1,5
322,1,4
9654,1,3
9486,1,1
296,1,5
587,0,3
9316,1,2
9373,1,2
8273,1,5
55931,1,1
5653,0,1
6964,1,5
9567,0,2
7229,0,3
9480,1,4
10330,1,2
6466,1,1
12279,1,2
4552,0,1
10159,0,5
11647,1,4
1996,0,5
4970,1,2
10719,1,3
9341,0,4
10226,1,3
10601,0,3
9257,1,3
11007,1,4
1817,1,2
504,1,4
302,1,5
9562,0,4
11023,1,2
10623,1,4
14411,0,5
8619,0,2
8698,1,4
2289,1,5
7090,0,3
6038,0,5
11351,1,2
553,0,5
2662,1,4
9471,1,3
14310,1,1
10028,1,2
