primary_genre,is_collection,success_rate,movie_count
Action,0,0.48484848484848486,165
Action,1,0.8168316831683168,202
Adventure,0,0.46153846153846156,78
Adventure,1,0.8421052631578947,95
Animation,0,0.5384615384615384,52
Animation,1,0.8873239436619719,71
Comedy,0,0.7112676056338029,142
Comedy,1,0.927536231884058,69
Drama,0,0.7115384615384616,208
Drama,1,0.8518518518518519,27
Horror,0,0.559322033898305,59
Horror,1,0.9361702127659575,94
Science Fiction,0,0.38636363636363635,44
Science Fiction,1,0.782608695652174,46
Thriller,0,0.7446808510638298,47
Thriller,1,0.85,20
