field,source_cache,total_movies,present_before_api,missing_before_api,coverage_before_api,present_after_enrichment,coverage_after_enrichment,retrieved_at
belongs_to_collection,tmdb_movies_2000_2025.json,2597,880,1717,0.33885252214093187,880,0.33885252214093187,2026-07-17T09:35:26.415267+00:00
production_companies,tmdb_movies_2000_2025.json,2597,2369,228,0.9122063919907586,2369,0.9122063919907586,2026-07-17T09:35:26.415267+00:00
production_countries,tmdb_movies_2000_2025.json,2597,2481,116,0.9553330766268772,2481,0.9553330766268772,2026-07-17T09:35:26.415267+00:00
spoken_languages,tmdb_movies_2000_2025.json,2597,2535,62,0.9761262995764344,2535,0.9761262995764344,2026-07-17T09:35:26.415267+00:00
overview,tmdb_movies_2000_2025.json,2597,2551,46,0.9822872545244513,2551,0.9822872545244513,2026-07-17T09:35:26.415267+00:00
tagline,tmdb_movies_2000_2025.json,2597,1976,621,0.7608779360800925,1976,0.7608779360800925,2026-07-17T09:35:26.415267+00:00
credits,tmdb_movie_enrichment.jsonl,2597,0,2597,0.0,2594,0.9988448209472468,2026-07-21T14:35:46.173168+00:00
keywords,tmdb_movie_enrichment.jsonl,2597,0,2597,0.0,2251,0.8667693492491336,2026-07-21T14:35:46.173168+00:00
release_dates,tmdb_movie_enrichment.jsonl,2597,0,2597,0.0,2592,0.9980747015787447,2026-07-21T14:35:46.173168+00:00
enrichment_record,tmdb_movie_enrichment.jsonl,2597,0,2597,0.0,2594,0.9988448209472468,2026-07-21T14:35:46.173168+00:00
