tmdb_id,success,outer_fold,probability_success,threshold,prediction,title,release_year,budget,revenue,revenue_to_budget,error_type,distance_to_target_boundary
12,1,4,0.935804843902588,0.51,1,Finding Nemo,2003,94000000.0,940335536.0,10.003569531914891,correct,8.003569531914891
16,1,5,0.5333829522132874,0.57,0,Dancer in the Dark,2000,12500000.0,40061153.0,3.20489224,false_negative,1.20489224
22,1,3,0.9146358966827391,0.53,1,Pirates of the Caribbean: The Curse of the Black Pearl,2003,140000000.0,655011224.0,4.6786516,correct,2.6786516000000002
24,1,2,0.8413463830947876,0.54,1,Kill Bill: Vol. 1,2003,30000000.0,180906076.0,6.030202533333333,correct,4.030202533333333
27,0,3,0.3387166559696197,0.53,0,9 Songs,2004,1000000.0,1574623.0,1.574623,correct,0.4253769999999999
35,1,2,0.7443211078643799,0.54,1,The Simpsons Movie,2007,75000000.0,527068851.0,7.02758468,correct,5.02758468
38,1,5,0.7282518744468689,0.57,1,Eternal Sunshine of the Spotless Mind,2004,20000000.0,72258126.0,3.6129063,correct,1.6129063000000001
55,1,1,0.8296964764595032,0.56,1,Amores Perros,2000,2000000.0,20908467.0,10.4542335,correct,8.4542335
58,1,1,0.8416601419448853,0.56,1,Pirates of the Caribbean: Dead Man's Chest,2006,200000000.0,1066179747.0,5.330898735,correct,3.330898735
59,0,2,0.7279348969459534,0.54,1,A History of Violence,2005,32000000.0,61477797.0,1.92118115625,false_positive,0.07881884374999992
64,1,2,0.5674089789390564,0.54,1,Talk to Her,2002,6500000.0,64826117.0,9.97324876923077,correct,7.97324876923077
65,1,2,0.6119912266731262,0.54,1,8 Mile,2002,41000000.0,242875078.0,5.923782390243902,correct,3.923782390243902
69,1,2,0.7956778407096863,0.54,1,Walk the Line,2005,28000000.0,186800000.0,6.671428571428572,correct,4.671428571428572
70,1,4,0.8820298910140991,0.51,1,Million Dollar Baby,2004,30000000.0,216763646.0,7.225454866666666,correct,5.225454866666666
71,1,4,0.7273852825164795,0.51,1,Billy Elliot,2000,5000000.0,109280263.0,21.8560526,correct,19.8560526
