release_year,movie_count,success_rate
2000,64,0.734375
2001,68,0.5882352941176471
2002,66,0.6666666666666666
2003,76,0.75
2004,67,0.6716417910447762
2005,73,0.6575342465753424
2006,71,0.676056338028169
2007,76,0.6973684210526315
2008,68,0.75
2009,73,0.6027397260273972
2010,66,0.7272727272727273
2011,71,0.7746478873239436
2012,60,0.8166666666666667
2013,67,0.8507462686567164
2014,68,0.8382352941176471
2015,59,0.7796610169491526
2016,67,0.8059701492537313
2017,75,0.7733333333333333
2018,61,0.8032786885245902
2019,56,0.7678571428571429
2020,34,0.4117647058823529
2021,45,0.4888888888888889
2022,51,0.6666666666666666
2023,52,0.6346153846153846
2024,52,0.6346153846153846
2025,60,0.6666666666666666
