release_year,movie_count,median_budget,median_revenue,success_rate
2000,64,40650000.0,107825957.0,0.734375
2001,68,40000000.0,94759344.0,0.5882352941176471
2002,66,47000000.0,114187807.0,0.6666666666666666
2003,76,39000000.0,120849433.5,0.75
2004,67,37000000.0,134734481.0,0.6716417910447762
2005,73,40000000.0,104500000.0,0.6575342465753424
2006,71,45000000.0,116755080.0,0.676056338028169
2007,76,30000000.0,130653754.5,0.6973684210526315
2008,68,49000000.0,163801899.5,0.75
2009,73,38000000.0,95714875.0,0.6027397260273972
2010,66,59000000.0,173835861.5,0.7272727272727273
2011,71,50000000.0,157887643.0,0.7746478873239436
2012,60,67500000.0,240969801.0,0.8166666666666667
2013,67,55000000.0,188133322.0,0.8507462686567164
2014,68,55000000.0,238122336.5,0.8382352941176471
2015,59,65000000.0,215863606.0,0.7796610169491526
2016,67,60000000.0,235957472.0,0.8059701492537313
2017,75,50000000.0,221600160.0,0.7733333333333333
2018,61,55000000.0,274650803.0,0.8032786885245902
2019,56,72000000.0,254980959.5,0.7678571428571429
2020,34,42000000.0,48580004.0,0.4117647058823529
2021,45,82000000.0,136536687.0,0.4888888888888889
2022,51,69000000.0,138874789.0,0.6666666666666666
2023,52,90500000.0,212561387.5,0.6346153846153846
2024,52,60000000.0,150374194.5,0.6346153846153846
2025,60,62450000.0,152800007.0,0.6666666666666666
